,movieId,title,genres
0,movie_1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,movie_2,Jumanji (1995),Adventure|Children|Fantasy
2,movie_3,Grumpier Old Men (1995),Comedy|Romance
3,movie_4,Waiting to Exhale (1995),Comedy|Drama|Romance
4,movie_5,Father of the Bride Part II (1995),Comedy
5,movie_6,Heat (1995),Action|Crime|Thriller
6,movie_7,Sabrina (1995),Comedy|Romance
7,movie_8,Tom and Huck (1995),Adventure|Children
8,movie_9,Sudden Death (1995),Action
9,movie_10,GoldenEye (1995),Action|Adventure|Thriller
10,movie_11,"American President, The (1995)",Comedy|Drama|Romance
11,movie_12,Dracula: Dead and Loving It (1995),Comedy|Horror
12,movie_13,Balto (1995),Adventure|Animation|Children
13,movie_14,Nixon (1995),Drama
14,movie_15,Cutthroat Island (1995),Action|Adventure|Romance
15,movie_16,Casino (1995),Crime|Drama
16,movie_17,Sense and Sensibility (1995),Drama|Romance
17,movie_18,Four Rooms (1995),Comedy
18,movie_19,Ace Ventura: When Nature Calls (1995),Comedy
19,movie_20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
20,movie_21,Get Shorty (1995),Comedy|Crime|Thriller
21,movie_22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
22,movie_23,Assassins (1995),Action|Crime|Thriller
23,movie_24,Powder (1995),Drama|Sci-Fi
24,movie_25,Leaving Las Vegas (1995),Drama|Romance
25,movie_26,Othello (1995),Drama
26,movie_27,Now and Then (1995),Children|Drama
27,movie_28,Persuasion (1995),Drama|Romance
28,movie_29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,movie_30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
30,movie_31,Dangerous Minds (1995),Drama
31,movie_32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
32,movie_34,Babe (1995),Children|Drama
33,movie_36,Dead Man Walking (1995),Crime|Drama
34,movie_38,It Takes Two (1995),Children|Comedy
35,movie_39,Clueless (1995),Comedy|Romance
36,movie_40,"Cry, the Beloved Country (1995)",Drama
37,movie_41,Richard III (1995),Drama|War
38,movie_42,Dead Presidents (1995),Action|Crime|Drama
39,movie_43,Restoration (1995),Drama
40,movie_44,Mortal Kombat (1995),Action|Adventure|Fantasy
41,movie_45,To Die For (1995),Comedy|Drama|Thriller
42,movie_46,How to Make an American Quilt (1995),Drama|Romance
43,movie_47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
44,movie_48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
45,movie_49,When Night Is Falling (1995),Drama|Romance
46,movie_50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
47,movie_52,Mighty Aphrodite (1995),Comedy|Drama|Romance
48,movie_53,Lamerica (1994),Adventure|Drama
49,movie_54,"Big Green, The (1995)",Children|Comedy
50,movie_55,Georgia (1995),Drama
51,movie_57,Home for the Holidays (1995),Drama
52,movie_58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
53,movie_60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
54,movie_61,Eye for an Eye (1996),Drama|Thriller
55,movie_62,Mr. Holland's Opus (1995),Drama
56,movie_63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
